职位名称,公司名称,工作地点,参考月薪,学历要求,发布时间,岗位职责
市场专员（银行方向）,厦门迪弟尔电子商务有限公司,厦门市思明区,9000,大专,2019-5-11 17:33,岗位职责1、定期与老客户沟通，对公司老客户进行管理和维护，建立公司与客户之间良好关系；2、对老客户进行深入开发，开拓老客户新业务，为老客户量身定制产品使用方案。3、负责搜集新客户的资料并进行沟通，...
翔安区经理,福建五色康养科技有限公司,厦门市翔安区,15000,中专,2019-5-11 10:04,2018年，人工智能浪潮席卷全球，各行各业都在积极拥抱，这里面蕴藏着巨大的市场和商机。近期福建五色康养科技有限公司携手同花顺（300033）开启县域/区级职业经理人的招募，让你有机会成为AI产业的参与者、引领者。 ...
急 总经理助理,厦门鑫大丰贸易有限公司,厦门市湖里区,8500,无,2019-5-10 17:36,一、岗位职责：1、负责董事长文件的呈报、处理、分发、归档工作；2、协助董事长对外联络，来访接待，配合处理好外部公共关系；3、负责董事长日常行程安排；4、协调各部门的关系，促进工作开展；5、协助董...
副总,厦门鑫大丰贸易有限公司,厦门市湖里区,12500,本科,2019-5-10 17:36,任职资格 ：1. 教育背景：本科以上学历，证券、法学、财会等金融相关专业优先；2. 五年以上金融、证券、投行等的相关金融行业工作经验，有成功完成项目或者全程参与项目经验；3.熟悉投资分析和风险评估，精通...
金控市场拓展部经理助理,鼎丰集团（中国）有限公司,厦门市湖里区,0,大专,2019-5-10 17:11,岗位职责：1、协助拓展部经理对项目进行尽调、踏勘等工作；2、协助部门经理制作立项报告，完善送审资料，从财务角度预测并评估投融资可能存在的风险，制订相应规避风险措施，尽量减少公司的损失；3、搭建资产...
金控融资租赁部业务主管,鼎丰集团（中国）有限公司,厦门市湖里区,0,大专,2019-5-10 17:11,岗位职责：1、负责租赁项目的市场开拓，推介融资租赁产品，完成所下达的业绩指标2、负责做好租赁项目的资料收集及分析、项目尽职调查、项目签约、租后管理等工作；3、负责做好存量项目催收及客户关系维护等工...
金控资产处置部经理助理,鼎丰集团（中国）有限公司,厦门市湖里区,0,大专,2019-5-10 17:11,岗位职责：1、负责对资产收购项目启动、尽职调查活动和报告、营销活动和报告、处置方式选择和方案提交，以及处置实施、资产回收、项目终结过程的操作；2、负责资产处置公告、尽职调查报告、估值评估、项目方案的...
PPP项目经理,福建纳川管材科技股份有限公司,泉州市,0,本科,2019-5-10 16:49,岗位职责：1.负责PPP项目源管理，为公司寻找潜在投资项目，并追踪监管潜在投资项目；2.负责投资方案策划，汇总项目，进行初步分析，筛选可投资项目，为管理层提供决策支持；3.负责投资项目立项前期商务协调、...
渠道业务员,厦门中昶旭管理咨询有限公司,厦门市、厦门市湖里区,7500,高中,2019-5-10 16:23,中昶旭大家庭在意每一个员工的喜怒哀乐，关注每一个人的成长，会教你如何成为更好的职业精英；非常欢迎对钱有渴望的朋友，有渴望才能有动力赚钱，没经验能力不足都不是啥事，我们都能教你。唯独欲望得你自己有！...
储备干部,厦门中昶旭管理咨询有限公司,厦门市、厦门市湖里区,9000,大专,2019-5-10 16:23,任职资格：1、不甘现状、改变命运、踏实勤奋、为人正直；2、沟通能力强，普通话标准；有亲和力，工作积极主动，乐观开朗；3、性格坚韧，品行端正，敏锐的洞察力，抗压能力强，敢于挑战高薪；4、有良好的职业...
